Node	Total SNPs	Num of SNPs inside recombinations	Num of SNPs outside recombinations	Num of Recombination Blocks	Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
17870_8#144	0	0	0	0	0	0.000000	0.000000	2107530	2107530
17870_8#175	174	155	19	1	37606	8.157895	0.052632	2078018	2078018
12378_2#89	0	0	0	0	26923	0.000000	0.000000	2073179	2046600
17966_5#77	25	8	17	1	561	0.470588	0.058824	2107031	2107031
17870_7#48	25	5	20	1	50	0.250000	0.050000	2107474	2107474
14936_6#78	31	7	24	1	6985	0.291667	0.041667	2106206	2100391
17966_5#19	90	62	28	2	18817	2.214286	0.071429	2068033	2066573
14936_6#60	21	0	21	0	0	0.000000	0.000000	2106701	2106701
15531_4#18	0	0	0	0	0	0.000000	0.000000	2069482	2069482
14936_6#53	117	95	22	1	28178	4.318182	0.045455	2077175	2075889
17870_7#113	173	146	27	1	37577	5.407407	0.037037	2085267	2078414
15531_4#31	0	0	0	0	26843	0.000000	0.000000	2075936	2049580
17966_5#17	192	164	28	2	34884	5.857143	0.071429	2102702	2102702
14936_6#66	0	0	0	0	801	0.000000	0.000000	2107249	2106550
15378_4#43	19	0	19	0	1347	0.000000	0.000000	2107129	2105781
15378_4#39	4	0	4	0	26831	0.000000	0.000000	2078158	2051704
17966_5#2	6	0	6	0	26748	0.000000	0.000000	2073592	2049807
15378_4#69	0	0	0	0	77	0.000000	0.000000	2107438	2107360
12290_3#29	0	0	0	0	6985	0.000000	0.000000	2068235	2062836
N5	19	14	5	1	1459	2.800000	0.200000	2085833	2085833
N9	89	73	16	1	26748	4.562500	0.062500	2073848	2073848
N8	0	0	0	0	0	0.000000	0.000000	2107476	2107476
N7	7	0	7	0	0	0.000000	0.000000	2107948	2107948
N11	0	0	0	0	0	0.000000	0.000000	2107882	2107882
N14	61	39	22	1	26709	1.772727	0.045455	2078394	2078394
N13	3	0	3	0	0	0.000000	0.000000	2080035	2080035
N16	33	0	33	0	0	0.000000	0.000000	2068541	2068541
N15	2	0	2	0	0	0.000000	0.000000	2070665	2070665
N12	3	0	3	0	0	0.000000	0.000000	2080192	2080192
N10	0	0	0	0	0	0.000000	0.000000	2108084	2108084
N6	1	0	1	0	0	0.000000	0.000000	2108113	2108113
N4	4	0	4	0	0	0.000000	0.000000	2108123	2108123
N18	9	0	9	0	0	0.000000	0.000000	2107757	2107757
N17	1	0	1	0	0	0.000000	0.000000	2107963	2107963
N3	3	0	3	0	0	0.000000	0.000000	2108134	2108134
N22	120	91	29	1	26831	3.137931	0.034483	2078482	2078482
N24	0	0	0	0	0	0.000000	0.000000	2107866	2107866
N23	2	0	2	0	0	0.000000	0.000000	2107969	2107969
N21	1	0	1	0	0	0.000000	0.000000	2108012	2108012
N20	1	0	1	0	0	0.000000	0.000000	2108062	2108062
N28	38	10	28	1	801	0.357143	0.035714	2107500	2107500
N34	0	0	0	0	270	0.000000	0.000000	2106498	2106227
N33	0	0	0	0	270	0.000000	0.000000	2106566	2106295
N32	0	0	0	0	270	0.000000	0.000000	2106638	2106367
N31	29	8	21	1	270	0.380952	0.047619	2106650	2106650
N30	0	0	0	0	0	0.000000	0.000000	2107492	2107492
N35	10	0	10	0	0	0.000000	0.000000	2107814	2107814
N29	1	0	1	0	0	0.000000	0.000000	2108041	2108041
N27	0	0	0	0	0	0.000000	0.000000	2108052	2108052
N37	0	0	0	0	0	0.000000	0.000000	2107814	2107814
N36	2	0	2	0	0	0.000000	0.000000	2107930	2107930
N26	0	0	0	0	0	0.000000	0.000000	2108091	2108091
N38	3	0	3	0	0	0.000000	0.000000	2107982	2107982
N25	1	0	1	0	0	0.000000	0.000000	2108132	2108132
N19	1	0	1	0	0	0.000000	0.000000	2108159	2108159
N2	2	0	2	0	0	0.000000	0.000000	2108207	2108207
N42	0	0	0	0	1347	0.000000	0.000000	2107576	2106228
N41	1	0	1	0	1347	0.000000	0.000000	2107677	2106329
N43	0	0	0	0	1347	0.000000	0.000000	2077832	2076546
N40	22	21	1	1	1347	21.000000	1.000000	2107951	2107951
N45	21	0	21	0	0	0.000000	0.000000	2070052	2070052
N46	15	4	11	1	77	0.363636	0.090909	2107863	2107863
N44	1	0	1	0	0	0.000000	0.000000	2108002	2108002
N39	0	0	0	0	0	0.000000	0.000000	2108061	2108061
N52	3	0	3	0	6985	0.000000	0.000000	2072164	2065339
N51	2	0	2	0	6985	0.000000	0.000000	2107670	2100824
N53	0	0	0	0	6985	0.000000	0.000000	2086075	2079540
N50	0	0	0	0	6985	0.000000	0.000000	2108017	2101062
N49	0	0	0	0	6985	0.000000	0.000000	2108046	2101086
N48	8	0	8	0	6985	0.000000	0.000000	2108069	2101107
N55	90	72	18	1	26843	4.000000	0.055556	2076108	2069247
N57	29	16	13	2	7163	1.230769	0.153846	2107734	2100886
N63	0	0	0	0	26923	0.000000	0.000000	2072038	2045374
N62	0	0	0	0	26923	0.000000	0.000000	2072096	2045392
N61	2	0	2	0	26923	0.000000	0.000000	2073613	2046879
N60	57	42	15	1	26923	2.800000	0.066667	2073680	2066771
N65	0	0	0	0	6985	0.000000	0.000000	2068321	2062883
N64	5	0	5	0	6985	0.000000	0.000000	2068687	2063134
N59	2	0	2	0	6985	0.000000	0.000000	2073739	2066790
N68	0	0	0	0	6985	0.000000	0.000000	2071355	2064412
N67	2	0	2	0	6985	0.000000	0.000000	2071397	2064448
N70	0	0	0	0	6985	0.000000	0.000000	2078909	2072032
N71	32	23	9	1	24811	2.555556	0.111111	2070022	2063088
N69	0	0	0	0	6985	0.000000	0.000000	2079448	2072490
N66	1	0	1	0	6985	0.000000	0.000000	2079476	2072509
N58	0	0	0	0	6985	0.000000	0.000000	2079634	2072667
N56	4	0	4	0	6985	0.000000	0.000000	2108116	2101149
N54	0	0	0	0	6985	0.000000	0.000000	2108119	2101152
N47	13	9	4	1	6985	2.250000	0.250000	2108139	2108139
N1	0	0	0	0	0	0.000000	0.000000	2108256	2108256
